,Active_Years,Gender_Name_En,Nationality_En,Medical_Field_En,Age_Group_En,Number_of_Practitioners
692,2022,Male,Yemen,Pharmacists and Pharmacy Technicians,From 30 to 39,713
697,2021,Female,Saudi Arabia,Laboratories and Medical Technology,From 40 to 49,708
698,2017,Male,Saudi Arabia,Health Administration and Community Health,From 20 to 29,707
700,2016,Female,Egypt,Medicine and Surgery,From 40 to 49,705
701,2021,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 50 to 59,703
702,2016,Male,Saudi Arabia,Nursing and Midwifery,From 30 to 39,701
703,2017,Female,Egypt,Medicine and Surgery,From 30 to 39,700
704,2020,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 30 to 39,700
705,2022,Male,Yemen,Medicine and Surgery,From 40 to 49,699
706,2017,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 30 to 39,698
707,2022,Male,India,Medicine and Surgery,From 40 to 49,695
708,2019,Female,Philippines,Laboratories and Medical Technology,From 30 to 39,694
709,2019,Female,Saudi Arabia,Health Administration and Community Health,From 30 to 39,691
710,2021,Male,Syria,Medicine and Surgery,From 40 to 49,690
711,2019,Female,Saudi Arabia,Laboratories and Medical Technology,From 30 to 39,686
712,2022,Female,Pakistan,Medicine and Surgery,From 40 to 49,684
715,2018,Female,Saudi Arabia,Laboratories and Medical Technology,From 30 to 39,681
716,2021,Male,Saudi Arabia,Dentistry and Related Specialties,From 40 to 49,680
717,2017,Male,Saudi Arabia,Nursing and Midwifery,From 50 to 59,678
718,2022,Male,Sudan,Laboratories and Medical Technology,From 30 to 39,677
720,2021,Male,Syria,Medicine and Surgery,From 50 to 59,677
722,2019,Female,Egypt,Medicine and Surgery,From 40 to 49,675
723,2020,Male,India,Nursing and Midwifery,From 30 to 39,672
724,2020,Male,Saudi Arabia,Therapy and Rehabilitation,From 50 to 59,672
725,2022,Female,Philippines,Laboratories and Medical Technology,From 50 to 59,669
726,2022,Male,Philippines,Nursing and Midwifery,From 20 to 29,669
727,2022,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 40 to 49,668
728,2021,Male,Pakistan,Medicine and Surgery,From 50 to 59,668
729,2018,Female,Egypt,Medicine and Surgery,From 40 to 49,668
731,2021,Female,Saudi Arabia,Medicine and Surgery,From 40 to 49,666
733,2017,Male,Sudan,Medicine and Surgery,From 30 to 39,660
735,2022,Male,Egypt,Nursing and Midwifery,From 20 to 29,657
738,2018,Female,Egypt,Medicine and Surgery,From 30 to 39,649
739,2021,Female,Saudi Arabia,Medicine and Surgery,From 50 to 59,646
740,2018,Male,Sudan,Medicine and Surgery,From 30 to 39,645
744,2021,Male,Philippines,Nursing and Midwifery,From 40 to 49,643
746,2020,Female,Philippines,Laboratories and Medical Technology,From 30 to 39,640
749,2021,Male,Saudi Arabia,Technicians and Health Assistants,From 50 to 59,637
750,2018,Male,Saudi Arabia,Laboratories and Medical Technology,From 20 to 29,637
751,2021,Male,Egypt,Dentistry and Related Specialties,From 30 to 39,634
752,2019,Female,Egypt,Medicine and Surgery,From 30 to 39,634
754,2016,Male,Sudan,Medicine and Surgery,From 30 to 39,633
761,2018,Female,India,Nursing and Midwifery,From 20 to 29,624
762,2021,Male,Saudi Arabia,Medicine and Surgery,From 60 to 69,623
766,2019,Male,Sudan,Medicine and Surgery,From 30 to 39,617
768,2017,Female,Saudi Arabia,Laboratories and Medical Technology,From 30 to 39,615
770,2021,Female,Saudi Arabia,Dentistry and Related Specialties,From 40 to 49,612
771,2016,Female,Egypt,Medicine and Surgery,From 30 to 39,610
778,2022,Male,Egypt,Dentistry and Related Specialties,From 40 to 49,603
781,2016,Male,Saudi Arabia,Nursing and Midwifery,From 50 to 59,602
782,2022,Male,Sudan,Medicine and Surgery,From 60 to 69,600
783,2022,Female,Sudan,Medicine and Surgery,From 20 to 29,598
784,2022,Female,Philippines,Dentistry and Related Specialties,From 50 to 59,595
785,2022,Female,Pakistan,Nursing and Midwifery,From 40 to 49,595
789,2021,Male,Sudan,Medicine and Surgery,From 50 to 59,589
790,2018,Female,India,Nursing and Midwifery,From 50 to 59,588
792,2017,Female,Philippines,Laboratories and Medical Technology,From 40 to 49,586
793,2020,Male,Saudi Arabia,Laboratories and Medical Technology,From 50 to 59,584
795,2017,Female,Saudi Arabia,Nursing and Midwifery,From 50 to 59,583
796,2018,Female,Saudi Arabia,Health Administration and Community Health,From 30 to 39,582
797,2016,Female,Philippines,Laboratories and Medical Technology,From 40 to 49,580
799,2017,Female,Saudi Arabia,Laboratories and Medical Technology,From 20 to 29,577
801,2020,Female,Egypt,Nursing and Midwifery,From 30 to 39,574
803,2016,Female,Egypt,Pharmacists and Pharmacy Technicians,From 30 to 39,573
806,2020,Male,Saudi Arabia,Nursing and Midwifery,From 50 to 59,573
807,2021,Male,Syria,Dentistry and Related Specialties,From 40 to 49,572
810,2019,Female,India,Nursing and Midwifery,From 50 to 59,570
811,2022,Female,Saudi Arabia,Health Administration and Community Health,From 40 to 49,569
812,2018,Female,Saudi Arabia,Therapy and Rehabilitation,From 40 to 49,569
813,2022,Male,India,Medicine and Surgery,From 50 to 59,569
814,2020,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 40 to 49,569
815,2020,Female,Sudan,Medicine and Surgery,From 40 to 49,569
822,2022,Male,Pakistan,Medicine and Surgery,From 30 to 39,561
824,2020,Female,Egypt,Medicine and Surgery,From 50 to 59,561
826,2020,Male,Sudan,Medicine and Surgery,From 40 to 49,559
828,2022,Male,Sudan,Pharmacists and Pharmacy Technicians,From 30 to 39,558
829,2021,Male,Egypt,Technicians and Health Assistants,From 20 to 29,557
830,2022,Male,Syria,Dentistry and Related Specialties,From 50 to 59,557
833,2020,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 20 to 29,556
834,2017,Female,Sudan,Laboratories and Medical Technology,From 30 to 39,555
835,2017,Female,Saudi Arabia,Technicians and Health Assistants,From 20 to 29,555
836,2016,Male,Pakistan,Medicine and Surgery,From 40 to 49,555
838,2020,Male,Saudi Arabia,Nursing and Midwifery,From 20 to 29,555
841,2022,Female,Egypt,Medicine and Surgery,From 60 to 69,552
842,2019,Female,Saudi Arabia,Therapy and Rehabilitation,From 40 to 49,552
843,2017,Female,Egypt,Pharmacists and Pharmacy Technicians,From 30 to 39,552
844,2016,Female,Saudi Arabia,Laboratories and Medical Technology,From 30 to 39,551
845,2022,Male,Egypt,Nursing and Midwifery,From 30 to 39,551
846,2020,Female,India,Nursing and Midwifery,From 50 to 59,550
849,2018,Female,Saudi Arabia,Nursing and Midwifery,From 50 to 59,546
850,2022,Male,Jordan,Nursing and Midwifery,From 40 to 49,545
851,2021,Female,Egypt,Dentistry and Related Specialties,From 30 to 39,545
852,2016,Female,Saudi Arabia,Nursing and Midwifery,From 50 to 59,544
853,2022,Female,Philippines,Dentistry and Related Specialties,From 40 to 49,543
854,2022,Female,Saudi Arabia,Therapy and Rehabilitation,From 50 to 59,540
857,2018,Male,India,Nursing and Midwifery,From 30 to 39,538
861,2019,Male,Saudi Arabia,Health Administration and Community Health,From 40 to 49,532
862,2018,Male,Saudi Arabia,Technicians and Health Assistants,From 20 to 29,531
863,2021,Female,Malaysia,Nursing and Midwifery,From 40 to 49,531
864,2017,Male,Pakistan,Medicine and Surgery,From 40 to 49,529
867,2019,Male,India,Nursing and Midwifery,From 30 to 39,528
868,2018,Female,Philippines,Laboratories and Medical Technology,From 40 to 49,527
871,2016,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 30 to 39,524
879,2020,Female,Philippines,Laboratories and Medical Technology,From 40 to 49,518
883,2021,Female,Philippines,Therapy and Rehabilitation,From 40 to 49,516
884,2017,Male,India,Nursing and Midwifery,From 30 to 39,515
886,2021,Female,Philippines,Laboratories and Medical Technology,From 50 to 59,514
892,2022,Female,Egypt,Nursing and Midwifery,From 50 to 59,511
894,2022,Female,Pakistan,Medicine and Surgery,From 30 to 39,510
896,2022,Female,Philippines,Laboratories and Medical Technology,From 20 to 29,509
897,2016,Female,Saudi Arabia,Technicians and Health Assistants,From 30 to 39,508
898,2017,Male,Saudi Arabia,Therapy and Rehabilitation,From 50 to 59,508
900,2019,Female,Philippines,Laboratories and Medical Technology,From 40 to 49,507
904,2020,Male,Saudi Arabia,Dentistry and Related Specialties,From 20 to 29,505
905,2017,Female,Saudi Arabia,Therapy and Rehabilitation,From 40 to 49,505
906,2016,Female,Egypt,Medicine and Surgery,From 50 to 59,505
908,2018,Male,Saudi Arabia,Nursing and Midwifery,From 50 to 59,502
909,2019,Male,Saudi Arabia,Therapy and Rehabilitation,From 50 to 59,502
910,2021,Male,Nigeria,Medicine and Surgery,From 30 to 39,502
911,2019,Female,Saudi Arabia,Nursing and Midwifery,From 50 to 59,501
914,2020,Male,Saudi Arabia,Technicians and Health Assistants,From 50 to 59,501
918,2017,Male,Saudi Arabia,Health Administration and Community Health,From 40 to 49,498
920,2022,Female,Sudan,Laboratories and Medical Technology,From 20 to 29,494
921,2018,Male,Saudi Arabia,Therapy and Rehabilitation,From 50 to 59,494
923,2022,Male,Yemen,Medicine and Surgery,From 30 to 39,492
930,2018,Male,Saudi Arabia,Health Administration and Community Health,From 40 to 49,488
932,2021,Male,Philippines,Nursing and Midwifery,From 20 to 29,486
933,2022,Female,Sudan,Dentistry and Related Specialties,From 30 to 39,485
934,2022,Male,Pakistan,Pharmacists and Pharmacy Technicians,From 30 to 39,485
939,2019,Male,Saudi Arabia,Medicine and Surgery,From 20 to 29,484
941,2022,Male,Saudi Arabia,Dentistry and Related Specialties,From 50 to 59,484
943,2022,Male,Egypt,Pharmacists and Pharmacy Technicians,From 50 to 59,482
947,2019,Female,Saudi Arabia,Nursing and Midwifery,From 40 to 49,477
948,2019,Female,Egypt,Medicine and Surgery,From 50 to 59,477
949,2016,Male,Saudi Arabia,Therapy and Rehabilitation,From 50 to 59,476
951,2019,Male,Saudi Arabia,Medicine and Surgery,From 30 to 39,476
952,2016,Male,Saudi Arabia,Nursing and Midwifery,From 40 to 49,476
955,2017,Female,Saudi Arabia,Nursing and Midwifery,From 40 to 49,474
956,2018,Female,Saudi Arabia,Nursing and Midwifery,From 40 to 49,473
957,2019,Male,Saudi Arabia,Technicians and Health Assistants,From 40 to 49,473
959,2017,Female,Egypt,Medicine and Surgery,From 50 to 59,471
961,2016,Female,Sudan,Laboratories and Medical Technology,From 30 to 39,470
962,2021,Male,India,Medicine and Surgery,From 40 to 49,470
963,2022,Male,Jordan,Medicine and Surgery,From 40 to 49,469
966,2017,Male,Saudi Arabia,Technicians and Health Assistants,From 50 to 59,467
968,2019,Male,Saudi Arabia,Nursing and Midwifery,From 50 to 59,466
971,2018,Female,Sudan,Laboratories and Medical Technology,From 30 to 39,464
977,2017,Female,Saudi Arabia,Health Administration and Community Health,From 30 to 39,459
978,2022,Male,Syria,Medicine and Surgery,From 60 to 69,458
981,2021,Male,Sudan,Medicine and Surgery,From 60 to 69,456
982,2017,Female,Egypt,Dentistry and Related Specialties,From 30 to 39,456
985,2021,Female,Pakistan,Medicine and Surgery,From 40 to 49,454
986,2020,Male,Saudi Arabia,Health Administration and Community Health,From 50 to 59,453
987,2017,Male,Saudi Arabia,Laboratories and Medical Technology,From 20 to 29,452
988,2017,Female,Saudi Arabia,Technicians and Health Assistants,From 30 to 39,451
990,2022,Female,Pakistan,Nursing and Midwifery,From 30 to 39,449
991,2021,Female,Egypt,Medicine and Surgery,From 60 to 69,448
996,2016,Male,Saudi Arabia,Technicians and Health Assistants,From 50 to 59,447
997,2022,Female,Egypt,Pharmacists and Pharmacy Technicians,From 30 to 39,446
998,2022,Female,Saudi Arabia,Technicians and Health Assistants,From 40 to 49,445
1002,2016,Female,Saudi Arabia,Therapy and Rehabilitation,From 40 to 49,441
1003,2018,Male,Pakistan,Medicine and Surgery,From 40 to 49,440
1004,2016,Male,Philippines,Nursing and Midwifery,From 40 to 49,440
1006,2021,Female,Philippines,Dentistry and Related Specialties,From 50 to 59,439
1009,2019,Female,Saudi Arabia,Nursing and Midwifery,From 20 to 29,438
1010,2019,Female,Saudi Arabia,Technicians and Health Assistants,From 30 to 39,437
1013,2020,Male,Egypt,Pharmacists and Pharmacy Technicians,From 20 to 29,434
1015,2022,Male,Philippines,Laboratories and Medical Technology,From 30 to 39,434
1016,2021,Male,Jordan,Nursing and Midwifery,From 30 to 39,433
1019,2017,Male,Saudi Arabia,Laboratories and Medical Technology,From 50 to 59,430
1021,2016,Female,Saudi Arabia,Health Administration and Community Health,From 30 to 39,427
1027,2018,Female,Egypt,Dentistry and Related Specialties,From 30 to 39,425
1029,2022,Male,Egypt,Laboratories and Medical Technology,From 30 to 39,424
1030,2016,Male,Saudi Arabia,Health Administration and Community Health,From 40 to 49,423
1032,2016,Female,Sudan,Medicine and Surgery,From 40 to 49,423
1033,2017,Female,Saudi Arabia,Health Administration and Community Health,From 20 to 29,422
1036,2018,Female,Saudi Arabia,Technicians and Health Assistants,From 30 to 39,419
1038,2022,Male,Nigeria,Medicine and Surgery,From 40 to 49,419
1039,2017,Female,Sudan,Medicine and Surgery,From 40 to 49,418
1040,2022,Male,India,Dentistry and Related Specialties,From 30 to 39,418
1041,2018,Female,Egypt,Medicine and Surgery,From 50 to 59,417
1043,2022,Female,South Africa,Nursing and Midwifery,From 50 to 59,415
1044,2018,Male,Saudi Arabia,Laboratories and Medical Technology,From 50 to 59,415
1045,2017,Male,Philippines,Nursing and Midwifery,From 40 to 49,414
1046,2020,Male,Pakistan,Medicine and Surgery,From 40 to 49,414
1051,2016,Male,Saudi Arabia,Laboratories and Medical Technology,From 50 to 59,410
1052,2022,Male,Sudan,Medicine and Surgery,From 20 to 29,409
1053,2020,Male,Saudi Arabia,Medicine and Surgery,From 40 to 49,409
1059,2016,Male,India,Nursing and Midwifery,From 30 to 39,404
1060,2017,Male,Saudi Arabia,Technicians and Health Assistants,From 40 to 49,404
1061,2016,Male,Saudi Arabia,Health Administration and Community Health,From 20 to 29,404
1064,2016,Female,Egypt,Dentistry and Related Specialties,From 30 to 39,402
1069,2016,Female,Saudi Arabia,Nursing and Midwifery,From 40 to 49,397
1072,2022,Male,Pakistan,Medicine and Surgery,From 60 to 69,396
1073,2019,Male,Pakistan,Medicine and Surgery,From 40 to 49,396
1074,2020,Male,Egypt,Technicians and Health Assistants,From 30 to 39,395
1078,2022,Female,Philippines,Therapy and Rehabilitation,From 30 to 39,393
1079,2019,Male,Saudi Arabia,Laboratories and Medical Technology,From 50 to 59,393
1080,2016,Male,Sudan,Medicine and Surgery,From 40 to 49,393
1085,2020,Female,Egypt,Dentistry and Related Specialties,From 30 to 39,391
1086,2021,Male,Syria,Dentistry and Related Specialties,From 30 to 39,391
1088,2022,Male,Syria,Medicine and Surgery,From 30 to 39,390
1090,2020,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 50 to 59,390
1092,2018,Male,Saudi Arabia,Technicians and Health Assistants,From 40 to 49,386
1096,2022,Male,India,Medicine and Surgery,From 30 to 39,384
1099,2016,Female,Saudi Arabia,Technicians and Health Assistants,From 20 to 29,382
1100,2021,Male,Egypt,Dentistry and Related Specialties,From 40 to 49,382
1102,2018,Female,Egypt,Pharmacists and Pharmacy Technicians,From 30 to 39,381
1109,2022,Male,Yemen,Dentistry and Related Specialties,From 30 to 39,378
1110,2020,Male,Saudi Arabia,Medicine and Surgery,From 50 to 59,378
1113,2021,Male,Yemen,Pharmacists and Pharmacy Technicians,From 30 to 39,376
1116,2021,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 40 to 49,375
1117,2022,Female,Sudan,Medicine and Surgery,From 50 to 59,375
1118,2017,Male,Saudi Arabia,Medicine and Surgery,From 30 to 39,375
1119,2021,Male,Pakistan,Medicine and Surgery,From 30 to 39,374
1121,2021,Male,India,Medicine and Surgery,From 50 to 59,374
1123,2021,Female,Philippines,Laboratories and Medical Technology,From 20 to 29,374
1126,2021,Male,Sudan,Laboratories and Medical Technology,From 30 to 39,373
1127,2018,Male,Saudi Arabia,Medicine and Surgery,From 30 to 39,373
1128,2017,Male,Sudan,Medicine and Surgery,From 40 to 49,373
1129,2017,Female,Philippines,Therapy and Rehabilitation,From 40 to 49,372
1130,2016,Female,Egypt,Nursing and Midwifery,From 40 to 49,372
1132,2022,Male,Sudan,Laboratories and Medical Technology,From 40 to 49,372
1134,2021,Male,Egypt,Pharmacists and Pharmacy Technicians,From 50 to 59,371
1135,2022,Female,Jordan,Nursing and Midwifery,From 30 to 39,369
1138,2022,Male,India,Nursing and Midwifery,From 20 to 29,368
1140,2019,Male,Saudi Arabia,Laboratories and Medical Technology,From 40 to 49,368
1142,2022,Male,Philippines,Therapy and Rehabilitation,From 40 to 49,367
1143,2018,Male,Saudi Arabia,Technicians and Health Assistants,From 50 to 59,367
1147,2017,Male,Egypt,Technicians and Health Assistants,From 30 to 39,366
1148,2021,Female,Saudi Arabia,Health Administration and Community Health,From 40 to 49,366
1149,2021,Female,Pakistan,Nursing and Midwifery,From 40 to 49,365
1152,2021,Female,Saudi Arabia,Therapy and Rehabilitation,From 50 to 59,364
1153,2017,Female,Egypt,Nursing and Midwifery,From 40 to 49,364
1155,2022,Female,Pakistan,Nursing and Midwifery,From 20 to 29,363
1156,2022,Male,Philippines,Laboratories and Medical Technology,From 40 to 49,363
1160,2022,Female,Sudan,Therapy and Rehabilitation,From 30 to 39,360
1161,2019,Female,Saudi Arabia,Medicine and Surgery,From 20 to 29,360
1163,2022,Female,Saudi Arabia,Dentistry and Related Specialties,From 50 to 59,359
1165,2020,Male,Egypt,Dentistry and Related Specialties,From 30 to 39,358
1166,2016,Male,Saudi Arabia,Medicine and Surgery,From 30 to 39,358
1167,2018,Female,Sudan,Medicine and Surgery,From 40 to 49,358
1168,2021,Male,Philippines,Laboratories and Medical Technology,From 30 to 39,357
1169,2022,Male,India,Pharmacists and Pharmacy Technicians,From 30 to 39,357
1174,2021,Male,Jordan,Nursing and Midwifery,From 40 to 49,356
1176,2021,Male,Yemen,Medicine and Surgery,From 40 to 49,356
1382,2016,Female,Philippines,Therapy and Rehabilitation,From 40 to 49,354
3187,2020,Female,Egypt,Medicine and Surgery,From 60 to 69,353
3189,2017,Female,Pakistan,Medicine and Surgery,From 40 to 49,353
3190,2019,Female,Sudan,Medicine and Surgery,From 40 to 49,353
3191,2022,Female,Philippines,Pharmacists and Pharmacy Technicians,From 40 to 49,353
3193,2019,Female,Saudi Arabia,Medicine and Surgery,From 30 to 39,353
3195,2021,Female,Philippines,Dentistry and Related Specialties,From 40 to 49,352
3196,2019,Male,Saudi Arabia,Technicians and Health Assistants,From 50 to 59,352
3198,2020,Female,Egypt,Nursing and Midwifery,From 40 to 49,352
3199,2022,Male,India,Medicine and Surgery,From 60 to 69,351
3201,2021,Female,Sudan,Medicine and Surgery,From 20 to 29,350
