,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Current_Speciality_Name_En,Number_of_Trainees
409,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,General Surgery,37
410,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,Adult Critical Care Medicine,37
413,2020,Khobar,King Fahd University Hospital in Khobar,Internal Medicine,37
414,2020,Riyadh,AlYamamah Hospital in Riyadh,Pediatrics,37
416,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,General Surgery,37
418,2019,Riyadh,Medical City of King Saud University in Riyadh,Emergency Medicine,36
419,2021,Jeddah,King Abdulaziz University Hospital in Jeddah,Family Medicine,36
420,2021,Taif,King Faisal Medical Complex in Taif,Obstetrics & Gynecology,36
421,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Anesthesia,36
422,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Diagnostic Radiology,36
423,2019,Khobar,King Fahd University Hospital in Khobar,General Surgery,36
424,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,General Surgery,36
425,2019,Buraidah,Maternity and Pediatric Hospital in Buraidah,Pediatrics,36
426,2017,Riyadh,JointProgram for Restorative Dentistry- Central,Restorative Dentistry,36
427,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,General Surgery,36
428,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Emergency Medicine,36
429,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,General Surgery,36
430,2019,Taif,Armed Forces Hospital in Al-Hada in Taif,Internal Medicine,36
431,2017,Jeddah,King Fahd General Hospital in Jeddah,Internal Medicine,36
432,2019,Buraidah,King Fahd Specialist Hospital in Buraidah,Internal Medicine,36
434,2019,Taif,Armed Forces Hospital in Al-Hada in Taif,Family Medicine,36
435,2020,Taif,King Abdulaziz Specialist Hospital in Taif,Internal Medicine,36
436,2021,Jeddah,King Abdulaziz Hospital in Jeddah,Internal Medicine,36
439,2016,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Family Medicine,35
440,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,Obstetrics & Gynecology,35
443,2021,Madinah,The program of the Ministry of Health in Madinah,Family Medicine,35
444,2021,Khobar,King Fahd University Hospital in Khobar,Family Medicine,35
445,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,General Surgery,35
446,2018,Dammam,Dammam Medical Complex,Internal Medicine,35
448,2020,Madinah,Maternity and Children Hospital in Medina,Obstetrics & Gynecology,35
449,2020,Makkah,Maternity and Children Hospital in Mecca,Obstetrics & Gynecology,35
450,2020,Abha,General Directorate of Health Affairs in Aseer Region,General Surgery,35
451,2020,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Internal Medicine,35
452,2021,Albahah,General Directorate of Health Affairs in Al-Baha Region,Pediatrics,35
453,2021,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Internal Medicine,35
454,2021,Dhahran,King Fahd Military Medical Complex in Dhahran,Internal Medicine,35
455,2021,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Pediatrics,35
456,2019,Jeddah,East Jeddah Hospital in Jeddah,Internal Medicine,35
457,2018,Madinah,King Fahd Hospital in Medina,Internal Medicine,35
458,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Adult Critical Care Medicine,35
459,2020,Madinah,The program of the Ministry of Health in Madinah,Family Medicine,35
460,2016,Riyadh,Prince Sultan Military Medical City in Riyadh,Adult Critical Care Medicine,35
461,2017,Riyadh,King Saud Medical City in Riyadh,Pediatrics,35
462,2018,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Internal Medicine,35
463,2019,Madinah,The program of the Ministry of Health in Madinah,Family Medicine,35
464,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Anesthesia,35
465,2018,Madinah,The program of the Ministry of Health in Madinah,Family Medicine,34
466,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Diagnostic Radiology,34
467,2019,Makkah,King Abdulaziz Hospital in Mecca,Internal Medicine,34
468,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Orthopedic Surgery,34
469,2017,Jeddah,King Abdulaziz Hospital in Jeddah,Internal Medicine,34
470,2020,Riyadh,"Joint training program in the central region, Riyadh",Preventive Medicine,34
471,2021,Madinah,Maternity and Children Hospital in Medina,Obstetrics & Gynecology,34
472,2018,Hofuf,King Fahad Hospital in Hofuf,Internal Medicine,34
474,2021,Makkah,General Directorate of Health Affairs in Mecca,Family Medicine,34
476,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Orthopedic Surgery,34
477,2021,Riyadh,King Saud Medical City in Riyadh,Adult Critical Care Medicine,34
480,2018,Khobar,King Fahd University Hospital in Khobar,Family Medicine,34
482,2021,Taif,King Faisal Medical Complex in Taif,Internal Medicine,34
483,2018,Makkah,King Faisal Hospital in Mecca,Internal Medicine,34
485,2017,Khobar,King Fahd University Hospital in Khobar,General Surgery,34
486,2020,Taif,Armed Forces Hospital in Al-Hada in Taif,Pediatrics,34
490,2019,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Internal Medicine,33
492,2016,Al-Ahsa,Maternity and Children Hospital in Mubarraz,Obstetrics & Gynecology,33
493,2016,Riyadh,King Saud Medical City in Riyadh,Family Medicine,33
494,2021,Riyadh,"Joint training program in the central region, Riyadh",Preventive Medicine,33
495,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Critical Care Medicine,33
496,2016,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,General Surgery,33
498,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Orthopedic Surgery,33
499,2021,Abha,General Directorate of Health Affairs in Aseer Region,Preventive Medicine,33
500,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Critical Care Medicine,33
501,2021,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Pediatrics,33
502,2020,Makkah,King Abdulaziz Hospital in Mecca,Internal Medicine,33
503,2019,Riyadh,King Fahad Medical City in Riyadh,Obstetrics & Gynecology,33
504,2019,Jeddah,King Abdulaziz Hospital in Jeddah,Pediatrics,33
505,2017,Hofuf,King Fahad Hospital in Hofuf,General Surgery,33
506,2020,Khobar,King Fahd University Hospital in Khobar,General Surgery,33
507,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Obstetrics & Gynecology,33
508,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Anesthesia,33
509,2018,Jeddah,Azizia Maternity and Pediatric Hospital in Jeddah,Pediatrics,33
510,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Internal Medicine,33
512,2019,Riyadh,AlYamamah Hospital in Riyadh,Pediatrics,33
513,2016,Khobar,King Fahd University Hospital in Khobar,General Surgery,33
515,2018,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Internal Medicine,32
519,2018,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,Internal Medicine,32
520,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Adult Critical Care Medicine,32
521,2021,Riyadh,Riyadh Second Health Cluster,Family Medicine,32
523,2019,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,Family Medicine,32
524,2020,Madinah,JointProgram for Family Medicine in Madinah,Family Medicine,32
526,2019,Jazan,General Directorate of Health Affairs in Jazan Region,Pediatrics,32
527,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Critical Care Medicine,32
528,2020,Alqatif  ,AlQatif Central Hospital,Obstetrics & Gynecology,32
529,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,Obstetrics & Gynecology,32
532,2016,Riyadh,Prince Sultan Military Medical City in Riyadh,General Surgery,32
533,2020,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,Family Medicine,32
534,2017,Riyadh,King Saud Medical City in Riyadh,Emergency Medicine,32
536,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,Obstetrics & Gynecology,32
537,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Anesthesia,32
538,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Adult Critical Care Medicine,32
539,2019,Taif,King Abdulaziz Specialist Hospital in Taif,Internal Medicine,32
540,2020,Taif,The program of the Ministry of Health in Taif ,Preventive Medicine,32
541,2020,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Family Medicine,32
543,2018,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,Family Medicine,32
544,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Diagnostic Radiology,32
545,2017,Abha,General Directorate of Health Affairs in Aseer Region,Internal Medicine,32
549,2016,Jeddah,King Abdulaziz University Hospital in Jeddah,Pediatrics,32
550,2020,Taif,King Faisal Medical Complex in Taif,Obstetrics & Gynecology,32
551,2018,Riyadh,King Saud Medical City in Riyadh,General Surgery,32
552,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Emergency Medicine,32
553,2019,Abha,General Directorate of Health Affairs in Aseer Region,Obstetrics & Gynecology,32
554,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Pediatrics Emergency Medicine,32
555,2021,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,Preventive Medicine,32
556,2021,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,Family Medicine,32
557,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,Anesthesia,31
558,2017,Madinah,Maternity and Children Hospital in Medina,Pediatrics,31
559,2018,Hofuf,King Fahad Hospital in Hofuf,General Surgery,31
561,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Emergency Medicine,31
562,2020,Dammam,King Fahd Specialist Hospital in Dammam,Internal Medicine,31
564,2021,Dammam,Maternity and Children Hospital in Dammam,Obstetrics & Gynecology,31
565,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Neurology,31
566,2017,Makkah,Alnoor Specialist Hospital in Mecca,Internal Medicine,31
567,2019,Khobar,King Fahd University Hospital in Khobar,Internal Medicine,31
569,2017,Abha,General Directorate of Health Affairs in Aseer Region,Obstetrics & Gynecology,31
571,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,Diagnostic Radiology,31
573,2018,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Family Medicine,31
574,2021,Makkah,King Abdulaziz Hospital in Mecca,Internal Medicine,31
575,2020,Riyadh,Medical City of King Saud University in Riyadh,Diagnostic Radiology,31
577,2018,Alqatif  ,AlQatif Central Hospital,Pediatrics,31
578,2017,Buraidah,The program of the Ministry of Health in Al-Qassim,Family Medicine,31
580,2017,Arar,The program of the Ministry of Health in Arar,Family Medicine,31
581,2017,Madinah,Maternity and Children Hospital in Medina,Obstetrics & Gynecology,31
582,2019,Hail,Family Medicine Postgraduate Program in Hail,Family Medicine,31
585,2016,Khobar,King Fahd University Hospital in Khobar,Family Medicine,31
586,2020,Dhahran,King Fahd Military Medical Complex in Dhahran,Internal Medicine,31
588,2020,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Obstetrics & Gynecology,31
589,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Anesthesia,31
590,2016,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Family Medicine,31
592,2021,Riyadh,Medical City of King Saud University in Riyadh,Diagnostic Radiology,31
595,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Adult Cardiology,31
596,2021,Riyadh,Security Forces Hospital in Riyadh,Family Medicine,31
597,2018,Riyadh,JointProgram for Restorative Dentistry- Central,Restorative Dentistry,31
598,2021,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Family Medicine,31
599,2021,Riyadh,Security Forces Hospital in Riyadh,Pediatrics,31
600,2021,Taif,Prince Mansour Military Hospital for Community Medicine in Taif,Family Medicine,31
601,2020,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Internal Medicine,30
603,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Obstetrics & Gynecology,30
604,2017,Makkah,Maternity and Children Hospital in Mecca,Pediatrics,30
605,2021,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Family Medicine,30
607,2018,Riyadh,King Fahad Medical City in Riyadh,Obstetrics & Gynecology,30
608,2018,Jeddah,The program of the Ministry of Health in Jeddah,Preventive Medicine,30
609,2020,Taif,Armed Forces Hospital in Al-Hada in Taif,Internal Medicine,30
613,2018,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Cornea/ External Disease,30
615,2019,Riyadh,Medical City of King Saud University in Riyadh,Pediatrics,30
616,2021,Riyadh,Completed Family Medicine Program at the Ministry of Defense in Riyadh,Family Medicine,30
618,2020,Albahah,General Directorate of Health Affairs in Al-Baha Region,Pediatrics,30
619,2018,Abha,General Directorate of Health Affairs in Aseer Region,Obstetrics & Gynecology,30
620,2019,Madinah,Maternity and Children Hospital in Medina,Obstetrics & Gynecology,30
622,2021,Riyadh,AlYamamah Hospital in Riyadh,Pediatrics,30
623,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Adult Critical Care Medicine,30
624,2017,Riyadh,King Saud Medical City in Riyadh,General Surgery,30
625,2020,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Pediatrics,30
626,2021,Hail,Family Medicine Postgraduate Program in Hail,Family Medicine,30
630,2018,Riyadh,Security Forces Hospital in Riyadh,Family Medicine,30
631,2017,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Internal Medicine,30
633,2017,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Internal Medicine,30
634,2018,Madinah,Maternity and Children Hospital in Medina,Obstetrics & Gynecology,30
635,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Critical Care Medicine,30
636,2020,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Pediatrics,30
637,2020,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Ophthalmology,30
638,2020,Riyadh,Security Forces Hospital in Riyadh,Family Medicine,30
639,2020,Riyadh,Completed Family Medicine Program at the Ministry of Defense in Riyadh,Family Medicine,30
640,2019,Abha,General Directorate of Health Affairs in Aseer Region,General Surgery,30
641,2021,Jeddah,King Abdullah Medical Complex in Jeddah,Internal Medicine,30
642,2016,Riyadh,JointProgram for Restorative Dentistry- Central,Restorative Dentistry,30
643,2017,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Cornea/ External Disease,30
644,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Orthopedic Surgery,30
646,2020,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Family Medicine,30
647,2021,Jeddah,King Abdulaziz University Hospital in Jeddah,Obstetrics & Gynecology,29
648,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Internal Medicine,29
650,2016,Jeddah,King Abdulaziz Hospital in Jeddah,Internal Medicine,29
651,2021,Al-Ahsa,Alahsa Health Cluster,Family Medicine,29
652,2019,Najran,General Directorate of Health Affairs in Najran Region,Internal Medicine,29
655,2021,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Obstetrics & Gynecology,29
656,2019,Madinah,King Fahd Hospital in Medina,Diagnostic Radiology,29
657,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatrics,29
659,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Obstetrics & Gynecology,29
661,2018,Makkah,King Abdulaziz Hospital in Mecca,Internal Medicine,29
662,2016,Jeddah,King Abdulaziz University Hospital in Jeddah,Internal Medicine,29
663,2020,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,Preventive Medicine,29
664,2017,Riyadh,King Fahad Medical City in Riyadh,Obstetrics & Gynecology,29
665,2021,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,Internal Medicine,29
667,2020,Dammam,Maternity and Children Hospital in Dammam,Obstetrics & Gynecology,29
668,2020,Riyadh,King Fahad Medical City in Riyadh,Adult Critical Care Medicine,29
669,2020,Riyadh,King Saud Medical City in Riyadh,Obstetrics & Gynecology,29
670,2018,Buraidah,King Fahd Specialist Hospital in Buraidah,Internal Medicine,29
671,2021,Riyadh,King Fahad Medical City in Riyadh,Anesthesia,29
672,2019,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Pediatrics,29
673,2019,Taif,King Faisal Medical Complex in Taif,Internal Medicine,29
675,2018,Abha,General Directorate of Health Affairs in Aseer Region,General Surgery,29
676,2019,Makkah,Alnoor Specialist Hospital in Mecca,General Surgery,29
677,2019,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Internal Medicine,29
678,2020,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Pediatrics,29
679,2021,Makkah,Alnoor Specialist Hospital in Mecca,General Surgery,29
680,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Anesthesia,29
681,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Adult Cardiology,28
