,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Work_Name_En,Number_of_Trainees
510,2017,Riyadh,King Khalid University Hospital in Riyadh,Ministry of Health,66
511,2021,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Ministry of Health,66
512,2019,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Ministry of Health,66
514,2019,Dhahran,King Fahd Military Medical Complex in Dhahran,Ministry of Health,66
515,2018,Taif,Armed Forces Hospital in Al-Hada in Taif,Ministry of Defense / Personal Contract,66
516,2019,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Ministry of Health,66
517,2018,Al-Ahsa,Maternity and Children Hospital in Mubarraz,Ministry of Health,66
518,2020,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Ministry of Health,66
519,2017,Madinah,JointProgram for Family Medicine in Madinah,Ministry of Health,66
520,2018,Madinah,Maternity and Children Hospital in Medina,Ministry of Health,66
522,2020,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Ministry of Health,65
526,2020,Albahah,General Directorate of Health Affairs in Al-Baha Region,Ministry of Health,65
530,2018,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Ministry of Defense / Personal Contract,65
531,2016,Makkah,JointProgram for Family Medicine in Makkah,Ministry of Health,65
533,2021,Jeddah,The program of the Ministry of Health in Jeddah,Unknown,65
534,2017,Jeddah,JointProgram for Family Medicine in Jeddah,Ministry of Health,64
537,2017,Taif,Armed Forces Hospital in Al-Hada in Taif,Ministry of Defense / Personal Contract,64
538,2016,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,"King Abdulaziz Hospital for National Guards, Al Hassa",64
539,2020,Makkah,Security Forces Hospital in Mecca,Ministry of Health,64
540,2019,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Ministry of Health,64
541,2021,Dhahran,King Fahd Military Medical Complex in Dhahran,Ministry of Health,64
542,2020,Jeddah,King Abdullah Medical Complex in Jeddah,Ministry of Health,64
545,2020,Riyadh,Medical City of King Saud University in Riyadh,King Saud University,64
546,2021,Manama,Salmaniya Medical Complex in Manama,Unknown,64
547,2019,Taif,Armed Forces Hospital in Al-Hada in Taif,Ministry of Defense / Personal Contract,63
548,2019,Riyadh,Security Forces Hospital in Riyadh,Ministry of Interior,63
549,2020,Taif,The program of the Ministry of Health in Taif ,Ministry of Health,63
551,2019,Riyadh,King Fahad Medical City in Riyadh,King Fahad Medical City in Riyadh,63
552,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,Personal Contract,63
554,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Ministry of Defense Medical Services,62
555,2020,Riyadh,Security Forces Hospital in Riyadh,Ministry of Interior,62
556,2020,Al-Ahsa,Maternity and Children Hospital in Mubarraz,Ministry of Health,62
557,2018,Riyadh,King Fahad Medical City in Riyadh,Unknown,62
559,2016,Riyadh,Medical City of King Saud University in Riyadh,Personal Contract,62
560,2021,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,Unknown,62
561,2019,Madinah,Maternity and Children Hospital in Medina,Ministry of Health,62
564,2021,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,"King Faisal Specialist Hospital & Research Centre, Jeddah",62
567,2018,Jeddah,The program of the Ministry of Health in Jeddah,Ministry of Health,62
568,2019,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Ministry of Defense / Personal Contract,61
570,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Unknown,61
572,2020,Dhahran,King Fahd Military Medical Complex in Dhahran,Unknown,61
573,2021,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,Ministry of Health,61
574,2021,Taif,The program of the Ministry of Health in Taif ,Ministry of Health,61
575,2017,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,"King Faisal Specialist Hospital & Research Centre, Jeddah",61
576,2017,Taif,Armed Forces Hospital in Al-Hada in Taif,Ministry of Defense Medical Services,60
577,2018,Riyadh,Security Forces Hospital in Riyadh,Ministry of Interior,60
578,2017,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Ministry of Defense / Personal Contract,60
579,2019,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,"King Faisal Specialist Hospital & Research Centre, Jeddah",60
580,2019,Riyadh,Security Forces Hospital in Riyadh,Unknown,60
582,2017,Makkah,King Abdullah Medical City in the Holy Capital,King Abdullah Medical City in Mecca,60
583,2017,Riyadh,Medical City of King Saud University in Riyadh,King Saud University,60
584,2020,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,Ministry of Health,59
586,2020,Riyadh,Riyadh Second Health Cluster,Personal Contract,59
587,2019,Al-Ahsa,Maternity and Children Hospital in Mubarraz,Ministry of Health,59
588,2019,Jazan,General Directorate of Health Affairs in Jazan Region,Unknown,59
589,2018,Makkah,Maternity and Children Hospital in Mecca,Ministry of Health,59
590,2018,Makkah,King Abdulaziz Hospital in Mecca,Ministry of Health,59
593,2017,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Personal Contract,58
595,2021,Makkah,Hera General Hospital in Mecca,Ministry of Health,58
598,2018,Dhahran,King Fahd Military Medical Complex in Dhahran,Ministry of Health,58
599,2016,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Ministry of Health,58
600,2019,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Ministry of Defense Medical Services,58
602,2020,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,Ministry of Health,58
603,2016,Taif,Armed Forces Hospital in Al-Hada in Taif,Ministry of Defense Medical Services,58
604,2017,Al-Ahsa,Maternity and Children Hospital in Mubarraz,Ministry of Health,58
606,2019,Jeddah,JointProgram for Family Medicine in Jeddah,Ministry of Health,57
609,2019,Taif,King Abdulaziz Specialist Hospital in Taif,Ministry of Health,57
611,2021,Riyadh,King Saud Medical City in Riyadh,King Saud Medical City in Riyadh,57
612,2020,Najran,General Directorate of Health Affairs in Najran Region,Ministry of Health,57
614,2019,Taif,The program of the Ministry of Health in Taif ,Ministry of Health,57
617,2017,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,"King Abdulaziz Hospital for National Guards, Al Hassa",57
618,2021,Riyadh,King Khalid University Hospital in Riyadh,King Saud University,57
620,2021,Jeddah,International Medical Center in Jeddah,Ministry of Health,57
621,2018,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,"King Faisal Specialist Hospital & Research Centre, Jeddah",57
622,2018,Khobar,King Fahd University Hospital in Khobar,Imam Abdul Rahman Bin Faisal University,56
623,2021,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Ministry of Defense Medical Services,56
624,2021,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,King Faisal Specialist Hospital & Research Centre,56
625,2021,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,Ministry of Health,56
626,2018,Riyadh,Medical City of King Saud University in Riyadh,Unknown,56
628,2016,Jeddah,Joint Program for Family and Community Medicine - Jeddah,Ministry of Health,56
631,2019,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,King Faisal Specialist Hospital & Research Centre,56
633,2019,Najran,General Directorate of Health Affairs in Najran Region,Ministry of Health,55
635,2020,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,King Faisal Specialist Hospital & Research Centre,55
636,2021,Madinah,Maternity and Children Hospital in Medina,Unknown,55
637,2020,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Ministry of Health,55
638,2018,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Ministry of Health,55
639,2021,Makkah,King Faisal Hospital in Mecca,Ministry of Health,55
641,2019,Makkah,Security Forces Hospital in Mecca,Ministry of Health,55
642,2016,Jeddah,King Abdulaziz University Hospital in Jeddah,Personal Contract,55
643,2021,Madinah,Joint Family Medicine Program - Medina,Unknown,55
644,2017,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Personal Contract,55
645,2018,Taif,King Faisal Medical Complex in Taif,Ministry of Health,55
646,2021,Buraidah,King Fahd Specialist Hospital in Buraidah,Unknown,55
647,2020,Madinah,Joint Family Medicine Program - Medina,Unknown,55
648,2019,Riyadh,Security Forces Hospital in Riyadh,Security Forces Hospital - Riyadh,55
650,2017,Jeddah,King Abdulaziz University Hospital in Jeddah,Personal Contract,54
652,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Personal Contract,54
653,2019,Dammam,King Fahd Specialist Hospital in Dammam,Unknown,54
655,2021,Madinah,King Fahd Hospital in Medina,Unknown,54
657,2018,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,King Faisal Specialist Hospital & Research Centre,54
658,2018,Dammam,King Fahd Specialist Hospital in Dammam,"King Fahad Specialist Hospital, Damam",53
659,2020,Manama,Salmaniya Medical Complex in Manama,Unknown,53
663,2020,Taif,Armed Forces Hospital in Al-Hada in Taif,Ministry of Defense / Personal Contract,53
664,2019,Alqatif  ,AlQatif Central Hospital,Unknown,53
665,2020,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,"King Faisal Specialist Hospital & Research Centre, Jeddah",53
666,2020,Makkah,King Faisal Hospital in Mecca,Ministry of Health,53
668,2016,Hofuf,King Fahad Hospital in Hofuf,Ministry of Health,52
670,2017,Madinah,Maternity and Children Hospital in Medina,Ministry of Health,52
671,2021,Taif,Armed Forces Hospital in Al-Hada in Taif,Ministry of Health,52
672,2018,Buraidah,King Fahd Specialist Hospital in Buraidah,Ministry of Health,52
675,2020,Dubai,Rashed Hospital in Dubai,Dubai Health Authority,52
676,2019,Makkah,King Faisal Hospital in Mecca,Ministry of Health,52
678,2022,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Personal Contract,52
679,2019,Riyadh,King Fahad Medical City in Riyadh,Personal Contract,52
680,2021,Riyadh,King Fahad Medical City in Riyadh,King Fahad Medical City in Riyadh,52
682,2020,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Ministry of Defense Medical Services,52
683,2022,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Personal Contract,52
684,2021,Najran,General Directorate of Health Affairs in Najran Region,Unknown,52
685,2020,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,Unknown,52
687,2018,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Personal Contract,51
688,2017,Albahah,General Directorate of Health Affairs in Al-Baha Region,Ministry of Health,51
689,2018,Riyadh,King Khalid University Hospital in Riyadh,Ministry of Health,51
690,2016,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Ministry of Defense / Personal Contract,51
691,2018,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Personal Contract,51
692,2020,Hofuf,King Fahad Hospital in Hofuf,Unknown,51
693,2018,Taif,Armed Forces Hospital in Al-Hada in Taif,Ministry of Defense Medical Services,51
697,2019,Taif,Armed Forces Hospital in Al-Hada in Taif,Ministry of Health,51
699,2021,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,Ministry of Health,51
700,2019,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,Ministry of Health,51
701,2020,Riyadh,Medical City of King Saud University in Riyadh,Personal Contract,51
702,2017,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Ministry of Health,51
703,2017,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,Ministry of Health,51
704,2016,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,Ministry of Health,51
706,2020,Dammam,Dammam Medical Complex,Unknown,51
708,2018,Dubai,Rashed Hospital in Dubai,Dubai Health Authority,50
711,2019,Taif,Armed Forces Hospital in Al-Hada in Taif,Ministry of Defense Medical Services,50
714,2021,Riyadh,Riyadh First Health Cluster,Unknown,50
715,2017,Riyadh,King Saud Medical City in Riyadh,Personal Contract,50
716,2020,Dammam,Eastern Health Cluster,Unknown,50
718,2017,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,King Faisal Specialist Hospital & Research Centre,50
721,2020,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Ministry of Defense / Personal Contract,50
723,2020,Jeddah,International Medical Center in Jeddah,Ministry of Health,49
727,2020,Buraidah,The program of the Ministry of Health in Al-Qassim,Ministry of Health,49
731,2016,Riyadh,King Saud Medical City in Riyadh,Personal Contract,49
732,2021,Al-Ahsa,Maternity and Children Hospital in Mubarraz,Ministry of Health,49
734,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,48
736,2017,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Ministry of National Guard,48
737,2018,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Ministry of Defense Medical Services,48
739,2018,Riyadh,King Saud Medical City in Riyadh,Personal Contract,48
740,2016,Riyadh,Riyadh Second Health Cluster,Personal Contract,48
741,2021,Jeddah,International Medical Center in Jeddah,International Medical Center,48
742,2018,Buraidah,The program of the Ministry of Health in Al-Qassim,Ministry of Health,48
743,2016,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Ministry of Health,48
747,2017,Riyadh,Security Forces Hospital in Riyadh,Ministry of Interior,48
748,2021,Riyadh,University Dental Hospital at King Saud University in Riyadh,Unknown,48
749,2017,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Ministry of Health,48
750,2019,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Personal Contract,48
753,2016,Al-Ahsa,Maternity and Children Hospital in Mubarraz,Ministry of Health,48
756,2018,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Ministry of National Guard,47
759,2018,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Ministry of Health,47
760,2019,Dubai,Rashed Hospital in Dubai,Dubai Health Authority,47
762,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Personal Contract,47
764,2018,Jeddah,King Abdulaziz University Hospital in Jeddah,Personal Contract,47
765,2020,Taif,Armed Forces Hospital in Al-Hada in Taif,Ministry of Health,47
766,2019,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Unknown,47
768,2021,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,Unknown,47
769,2021,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Ministry of Health,47
772,2017,Makkah,Maternity and Children Hospital in Mecca,Ministry of Health,46
777,2019,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Ministry of National Guard,46
778,2017,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Personal Contract,46
779,2020,Riyadh,King Saud Medical City in Riyadh,King Saud Medical City in Riyadh,46
781,2021,Dubai,Rashed Hospital in Dubai,Dubai Health Authority,46
783,2020,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,Unknown,46
785,2016,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,46
786,2021,Dammam,Eastern Health Cluster,Ministry of Health,46
788,2019,Riyadh,King Khalid University Hospital in Riyadh,Ministry of Health,45
789,2021,Albahah,General Directorate of Health Affairs in Al-Baha Region,Unknown,45
793,2018,Riyadh,King Saud Medical City in Riyadh,Unknown,45
794,2020,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Ministry of Health,45
795,2019,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Unknown,45
796,2021,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,Unknown,45
797,2018,Taif,King Abdulaziz Specialist Hospital in Taif,Ministry of Health,45
799,2022,Riyadh,Riyadh First Health Cluster,Personal Contract,45
800,2020,Makkah,Hera General Hospital in Mecca,Ministry of Health,44
802,2019,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Ministry of Health,44
